431.05087|ISTEP 10.10 - proc_pcie_scominit
431.09269|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003A60D010C3F 0000000000008000
431.09274|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.09279|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.09283|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.09288|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.09293|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.09298|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.09302|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.09307|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.09313|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.09317|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.09322|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.09327|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.09332|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09336|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09341|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09346|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09351|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09356|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09361|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09366|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09370|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09375|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09380|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09385|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09389|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
431.09394|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
431.09399|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AE60D010C3F 0000000000008000
431.09404|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AE60D010C3F 0000000000008000
431.09408|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000B8D0D010C3F 0000000000000064
431.09413|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000B8D0D010C3F 0000000000000064
431.09418|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BA60D010C3F 0000000000008000
431.09423|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BA60D010C3F 0000000000008000
431.09427|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BCD0D010C3F 0000000000000064
431.09432|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BCD0D010C3F 0000000000000064
431.09437|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BE60D010C3F 0000000000008000
431.09442|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BE60D010C3F 0000000000008000
431.09448|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004A70D010C3F 000000000000008B
431.09452|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004A70D010C3F 000000000000008B
431.09457|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004800D010C3F 000000000000B071
431.09462|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000047
