491.98790|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98791|FAPI|p9_cpu_special_wakeup_lib.H: Setting Special Wake-up  ...
491.98794|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000270F0111 00F0F00000000000
491.98796|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000270F010B 0000000000000000
491.98799|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000270F0100 0011000000000000
491.98801|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000270F010B 8000000000000000
491.98803|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000270F0100 D011000000000000
491.98905|FAPI|p9_cpu_special_wakeup_lib.H: Special wakeup done is set.  SUCCESS!  ... 
491.98906|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98907|FAPI|p9_cpu_special_wakeup_lib.H: << p9_cpu_special_wakeup
491.98908|FAPI|p9_cpu_special_wakeup_ex.C: << p9_cpu_special_wakeup_ex
491.98909|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98942|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F0102 8000000000000000
491.98946|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c1 : 00000000100F0102 8000000000000000
491.98947|FAPI|p9_pm_reset.C: >> p9_set_auto_spwkup
491.98980|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0100 D011000000000000
491.98985|SCAN|TRACE : PUTSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 000000001001203B 0004000000000000
491.98986|FAPI|p9_pm_reset.C: ==> Auto spl wakeup enabled for core 1
491.98990|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0100 D011000000000000
