438.79675|ISTEP 13. 9 - mss_ddr_phy_reset
438.99954|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK0 0x000000000000baba
438.99959|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C730701103F 000000000000BBBA
438.99960|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbbba, remaining: 50
438.99965|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK1 0x000000000000bbba
438.99969|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C730701103F 000000000000BBBA
438.99971|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbbba, remaining: 50
438.99976|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010730701103F 000000000000BB00
438.99980|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK0 0x000000000000bb00
438.99985|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010730701103F 000000000000BB00
438.99987|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbb00, remaining: 50
438.99991|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK1 0x000000000000bb00
438.99994|FAPI|p9_mss_ddr_phy_reset.C: deassert sysclk reset pu.mcbist:k0:n0:s0:p00:c0
438.99997|FAPI|ddr_phy.C: Clear SysClk reset in the PC Resets Register. This deasserts the SysClk Reset.
439.00004|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C00E0701103F 0000000000004000
439.00009|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C00E0701103F 0000000000000000
439.00016|FAPI|dp16.C: vpd_mt_windage_rd_ctr = 0, ticks = 0 for pu.mca:k0:n0:s0:p00:c1
439.00021|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000000C0701103F 0000000000000000
439.00026|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000040C0701103F 0000000000000000
439.00031|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000080C0701103F 0000000000000000
439.00036|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C0C0701103F 0000000000000000
439.00040|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000100C0701103F 0000000000000000
439.00045|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000010C0701103F 0000000000000000
439.00050|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000050C0701103F 0000000000000000
439.00055|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000090C0701103F 0000000000000000
439.00060|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000D0C0701103F 0000000000000000
439.00065|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000110C0701103F 0000000000000000
439.00069|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000020C0701103F 0000000000000000
439.00074|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000060C0701103F 0000000000000000
439.00079|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000A0C0701103F 0000000000000000
439.00084|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000E0C0701103F 0000000000000000
439.00089|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000120C0701103F 0000000000000000
439.00094|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000030C0701103F 0000000000000000
439.00098|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000070C0701103F 0000000000000000
439.00103|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000B0C0701103F 0000000000000000
439.00108|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000F0C0701103F 0000000000000000
439.00113|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000130C0701103F 0000000000000000
439.00118|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000000D0701103F 0000000000000000
439.00123|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000040D0701103F 0000000000000000
439.00128|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000080D0701103F 0000000000000000
439.00133|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C0D0701103F 0000000000000000
439.00138|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000100D0701103F 0000000000000000
439.00143|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000010D0701103F 0000000000000000
439.00147|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000050D0701103F 0000000000000000
439.00153|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000090D0701103F 0000000000000000
439.00158|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000D0D0701103F 0000000000000000
439.00163|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000110D0701103F 0000000000000000
439.00168|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000020D0701103F 0000000000000000
439.00172|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000060D0701103F 0000000000000000
439.00177|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000A0D0701103F 0000000000000000
439.00182|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000E0D0701103F 0000000000000000
